Date, Time, Relative Time, Platform Temp., Sample Temp., Stage 1 Temp., Stage 2 Temp., User Temp., Compressor Supply, Compressor Return, Compressor State, Compressor Speed, Head Speed, Vacuum Pressure, Units, Stage 1 Heater Set, Stage 1 Heater Watt., Stage 2 Heater Set, Stage 2 Heater Watt., Platform Heater Set, Platform Heater Watt., User Heater Set, User Heater Watt., System State, Manual Mode, PID Temp Control, Compressor Status, Vacuum Pump (On/off), Case Valve (Open/Closed), Vent Valve (Open/Closed), Target Temp., Sample Therm Enabled, Sample Therm Resistance, User Therm Enabled, User Therm Resistance, Stage 1 Therm Resistance, Stage 2 Therm Resistance, Stage 1 Heater Resistance, Stage 2 Heater Resistance, Platform Heater Resistance, Capsule Temp., He Temp., Oil Flow Ratio, Oil Level, Fan Speed, Solenoid Valve State, Oil Temp., Exhaust Temp.
10/19/2016, 0:00:20.567, 11:44:13, 5.047, 5.076, 59.73, 4.70, 0.000, 2.135, 0.748, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3496.84, False, NaN, 10659.50, 2678.19, 104.00, 106.00, 100.00, 50.11, 25.15, 0.75, 53.97, 1, 0, 43.90, 32.52
10/19/2016, 0:00:50.225, 11:44:42, 5.041, 5.121, 59.97, 4.53, 0.000, 2.135, 0.748, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3459.74, False, NaN, 10659.46, 2794.39, 104.00, 106.00, 100.00, 49.97, 25.15, 0.75, 53.63, 1, 0, 43.77, 32.52
10/19/2016, 0:01:19.868, 11:45:12, 5.054, 5.120, 59.97, 4.53, 0.000, 2.135, 0.748, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3460.34, False, NaN, 10656.44, 2790.68, 104.00, 106.00, 100.00, 49.97, 25.05, 0.75, 53.63, 1, 0, 43.77, 32.52
10/19/2016, 0:01:49.526, 11:45:42, 5.097, 5.091, 59.97, 4.71, 0.000, 2.138, 0.751, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3472.15, False, NaN, 10656.49, 2674.59, 104.00, 106.00, 100.00, 49.97, 25.05, 0.75, 54.30, 1, 0, 43.77, 32.41
10/19/2016, 0:02:19.189, 11:46:11, 5.078, 5.105, 59.74, 4.46, 0.000, 2.138, 0.748, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3472.78, False, NaN, 10659.31, 2843.37, 104.00, 106.00, 100.00, 49.97, 24.95, 0.75, 55.97, 1, 0, 43.77, 32.41
10/19/2016, 0:02:48.848, 11:46:41, 5.047, 5.083, 59.51, 4.84, 0.000, 2.135, 0.748, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3491.47, False, NaN, 10662.37, 2629.88, 104.00, 106.00, 100.00, 49.97, 24.95, 0.75, 55.97, 1, 0, 43.77, 32.30
10/19/2016, 0:03:18.506, 11:47:11, 5.066, 5.128, 59.74, 4.46, 0.000, 2.135, 0.748, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3453.19, False, NaN, 10659.33, 2844.18, 104.00, 106.00, 100.00, 49.97, 24.85, 0.75, 55.63, 1, 0, 43.64, 32.30
10/19/2016, 0:03:48.153, 11:47:40, 5.078, 5.064, 59.50, 4.80, 0.000, 2.142, 0.751, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3506.98, False, NaN, 10659.36, 2619.46, 104.00, 106.00, 100.00, 49.97, 24.85, 0.75, 55.63, 1, 0, 43.64, 32.30
10/19/2016, 0:04:17.811, 11:48:10, 5.046, 5.129, 59.75, 4.46, 0.000, 2.142, 0.751, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3452.85, False, NaN, 10659.29, 2844.22, 104.00, 106.00, 100.00, 49.83, 24.75, 0.75, 55.63, 1, 0, 43.64, 32.30
10/19/2016, 0:04:47.470, 11:48:40, 5.068, 5.069, 59.51, 4.67, 0.000, 2.138, 0.751, REMOTE MODE, 14, 40, HiVac, , 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, 0.00, 0.000, Standby - IDLE, False, False, ON, OFF, Closed, Closed, 4.00 K, True, 3507.28, False, NaN, 10662.34, 2701.35, 104.00, 106.00, 100.00, 49.83, 24.75, 0.75, 57.96, 1, 0, 43.51, 32.20
